joined,left,difference
1884-07-25,1884-08-11,17
1883-12-22,1884-07-15,206
1884-07-25,1884-08-11,17
1883-12-22,1884-07-15,206
1883-12-22,1884-07-15,206
1885-08-08,1886-04-09,244
1884-07-25,1884-08-11,17
1885-08-08,1886-04-30,265
1885-08-08,1886-04-02,237
1885-08-10,1886-04-02,235
1885-08-08,1886-04-02,237
1885-08-10,1886-04-02,235
1885-08-10,1886-04-02,235
1886-04-09,1886-04-30,21
1885-08-10,1886-04-02,235
1886-04-09,1886-04-30,21
1886-04-09,1886-04-30,21
1886-04-09,1886-04-30,21
1886-04-09,1886-04-30,21
1886-04-09,1886-04-30,21
1886-04-30,1886-04-30,0
1886-05-01,1887-02-08,283
1886-05-01,1887-02-08,283
1886-05-01,1887-02-08,283
1886-04-09,1886-04-30,21
1886-05-01,1887-02-08,283
1886-10-23,1887-02-08,108
1886-10-10,1887-02-08,121
1886-10-23,1887-02-08,108
1886-10-23,1887-02-08,108
1887-04-06,1888-03-02,331
1887-04-06,1888-02-03,303
1887-04-05,1887-12-01,240
1887-04-05,1888-02-04,305
1887-04-05,1888-02-04,305
1888-02-20,1888-05-18,88
1887-12-29,1888-05-18,141
1887-04-05,1887-12-27,266
1887-12-22,1888-05-18,148
1888-02-20,1888-05-18,88
1888-02-20,1888-04-09,49
1888-02-20,1888-05-18,88
1887-04-05,1888-02-04,305
1888-03-02,1888-05-18,77
1866-09-01,1867-06-09,281
1866-09-01,1867-06-09,281
1867-03-06,1867-06-29,115
1870-06-01,1870-06-21,20
1870-06-01,1870-05-20,12
1871-01-01,1871-11-20,323
1871-01-01,1871-11-20,323
1870-07-01,1870-11-20,142
1872-06-30,1872-09-24,86
1872-06-30,1872-09-24,86
1872-03-03,1872-07-06,125
1872-03-03,1872-07-06,125
1872-03-03,1872-07-06,125
1863-02-02,1863-05-17,104
1863-11-16,1863-12-26,40
1864-01-18,1864-05-11,114
1866-07-01,1866-11-28,150
1866-07-01,1866-08-08,38
1866-10-22,1866-11-27,36
1866-07-01,1866-10-31,122
1870-01-04,1870-08-28,236
